HBL
8125372.761	3981066.199
8125379.028	3981078.434
8125380.887	3981081.924
8125390.505	3981092.474
8125409.285	3981106.742
8125417.7	3981105.525
8125439.586	3981095.697
8125460.569	3981100.818
8125448.636	3981129.621
8125413.659	3981130.089
8125418.736	3981139.944
8125409.785	3981145.319
8125413.659	3981152.193
8125426.506	3981145.614
8125436.658	3981156.966
8125428.888	3981168.011
8125425.604	3981169.202
8125423.812	3981165.618
8125417.544	3981168.011
8125412.168	3981155.175
8125406.201	3981162.342
8125410.075	3981167.116
8125400.824	3981170.699
8125394.256	3981167.116
8125390.672	3981170.097
8125388.579	3981167.717
8125371.258	3981210.12

HEAD QUARTERS
8125532.972	3980922.788
8125531.78	3980908.453
8125528.797	3980899.494
8125525.513	3980892.929
8125521.929	3980886.056
8125517.454	3980879.491
8125512.967	3980875.011
8125509.684	3980871.428
8125511.476	3980870.238
8125508.192	3980866.654
8125512.077	3980861.88
8125511.175	3980859.781
8125515.361	3980855.609
8125517.754	3980857.401
8125520.738	3980852.614
8125524.912	3980857.401
8125527.895	3980855.007
8125533.272	3980859.781
8125536.857	3980864.568
8125540.441	3980869.93
8125542.835	3980873.514
8125547.009	3980872.925
8125550.894	3980874.409
8125554.768	3980876.509
8125556.861	3980880.386
8125557.462	3980884.572
8125557.462	3980888.744
8125555.97	3980891.739
8125554.479	3980894.427
8125555.069	3980901.58
8125555.67	3980905.766
8125557.462	3980912.933
8125553.276	3980915.019
8125553.877	3980920.1
8125557.685	3980921.036
8125557.161	3980932.643
8125549.102	3980932.041
8125535.666	3980931.747
8125536.556	3980923.978
8125532.972	3980922.788

NICE
8124681.611	3980697.893
8124639.956	3980672.421
8124648.917	3980659.879
8124641.748	3980656.295
8124635.625	3980666.832
8124628.011	3980664.064
8124635.77	3980653.314
8124626.219	3980646.147
8124640.557	3980625.836
8124635.77	3980622.854
8124635.18	3980617.479
8124638.163	3980613.293
8124642.794	3980614.885
8124645.176	3980623.843
8124664.435	3980635.998
8124668.464	3980626.825
8124682.802	3980633.992
8124684.595	3980630.409
8124693.701	3980635.396
8124690.717	3980640.771
8124710.421	3980652.11
8124702.061	3980668.236
8124707.883	3980672.207
8124700.87	3980683.172
8124694.747	3980679.374
8124681.611	3980697.893

NIT
8124599.257	3980672.969
8124617.48	3980669.386
8124608.519	3980639.528
8124629.414	3980633.564
8124625.84	3980612.652
8124655.696	3980606.982
8124653.002	3980590.268
8124622.846	3980596.539
8124621.655	3980592.956
8124626.43	3980592.06
8124626.43	3980589.372
8124625.84	3980584.893
8124622.846	3980583.101
8124619.261	3980583.69
8124615.688	3980569.062
8124590.608	3980574.437
8124592.389	3980585.187
8124587.613	3980586.377
8124581.646	3980595.042
8124578.663	3980595.643
8124577.171	3980590.562
8124570.303	3980588.477
8124568.811	3980592.06
8124566.418	3980594.44
8124572.385	3980601.915
8124575.079	3980606.086
8124568.21	3980616.543
8124570.002	3980621.022
