X,Y,fid,full_id,osm_id,osm_type,building,shelter_type,bin,bench,library,cuisine,image,building:type,addr:street,addr:city,school,height,building:levels,rooms,internet_access:fee,leisure,tourism,smoking,internet_access,type,opening_hours,name,atm,amenity,AREA,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,x,y
72.9879581,33.6462802,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,21,0,0,21,0.001208019,203.5033864,8124982.33,3981404.415
72.9879152,33.6462578,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,22,0,0,22,0.001256415,196.4317291,8124977.554,3981401.42
72.9879367,33.6462199,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,23,0,0,23,0.001299989,198.9199665,8124979.947,3981396.352
72.9879045,33.6462065,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,24,0,0,24,0.001334866,203.1257334,8124976.363,3981394.56
72.9879555,33.6460747,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,25,0,0,25,0.001476189,165.7195729,8124982.04,3981376.935
72.9879581,33.6460547,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,26,0,0,26,0.001496357,195.6003571,8124982.33,3981374.261
72.9879474,33.6460413,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,27,0,0,27,0.001513505,236.2660619,8124981.139,3981372.469
72.9878079,33.6460011,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,28,0,0,28,0.001658682,261.9622488,8124965.61,3981367.093
72.9877865,33.6460011,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,29,0,0,29,0.001680082,287.9819702,8124963.227,3981367.093
72.987765,33.6460167,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,30,0,0,30,0.001706645,320.5912706,8124960.834,3981369.179
72.9877114,33.6461328,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,31,0,0,31,0.001834521,320.0752466,8124954.867,3981384.704
72.9876474,33.6461775,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,32,0,0,32,0.001912585,282.4533326,8124947.743,3981390.682
72.9876095,33.6461708,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,33,0,0,33,0.001951073,288.9466038,8124943.524,3981389.786
72.9875853,33.6461976,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,34,0,0,34,0.001987182,283.7336069,8124940.83,3981393.37
72.9874834,33.6461596,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,35,0,0,35,0.002095937,252.4136691,8124929.486,3981388.288
72.9874324,33.6461462,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,36,0,0,36,0.002148668,269.6574013,8124923.809,3981386.496
72.9874056,33.6461529,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,37,0,0,37,0.002176293,306.5480473,8124920.826,3981387.392
72.9873842,33.6461886,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,38,0,0,38,0.002217916,332.1079791,8124918.443,3981392.166
72.9873573,33.6462467,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,39,0,0,39,0.002281941,339.8669729,8124915.449,3981399.935
72.9873493,33.6462757,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,40,0,0,40,0.002312024,25.002075,8124914.558,3981403.813
72.9874324,33.6463137,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,41,0,0,41,0.0024034,69.37528571,8124923.809,3981408.895
72.9874995,33.6463338,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,42,0,0,42,0.002473446,32.57086856,8124931.279,3981411.582
72.9874951,33.6463644,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,43,0,0,43,0.002504361,21.62406786,8124930.789,3981415.674
72.9875183,33.6463829,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,44,0,0,44,0.002534034,39.50699875,8124933.371,3981418.148
72.9875451,33.6464342,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,45,0,0,45,0.002591912,41.37942482,8124936.355,3981425.008
72.9875773,33.6464566,2,w208827279,208827279,way,school,,,,,,,,,,,,,,,,,,,,,ASAB,,university,2489.671,46,0,0,46,0.002631137,15.04678827,8124939.939,3981428.003
72.9884607,33.6453662,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,0,0,0,0,0,303.1184637,8125038.279,3981282.194
72.98845,33.6453863,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,1,0,0,1,2.27706E-05,359.8968932,8125037.088,3981284.882
72.9884795,33.6454422,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,2,0,0,2,8.59771E-05,340.1973699,8125040.372,3981292.357
72.9883929,33.6454782,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,3,0,0,3,0.000179762,252.798369,8125030.731,3981297.171
72.9883695,33.6454422,3,w208959445,208959445,way,yes,,,,,,,,,,,,,,,,,,,,,GuestHouse,,,402.515,4,0,0,4,0.000222698,219.0119338,8125028.127,3981292.357
